case_id,activity,timestamp,resource,amount
ORD-001,Order Created,2024-04-02 00:00:00,Sales Rep,19352.47
ORD-001,Credit Check,2024-04-09 02:24:52,Finance Team,19352.47
ORD-001,Goods Issued,2024-04-11 15:50:23,Warehouse,19352.47
ORD-001,Invoice Sent,2024-04-13 20:29:18,Accounts Receivable,19352.47
ORD-001,Payment Received,2024-04-15 17:53:18,Accounts Receivable,19352.47
ORD-002,Order Created,2024-03-28 00:00:00,Sales Rep,5898.77
ORD-002,Credit Check,2024-04-05 00:03:14,Finance Team,5898.77
ORD-002,Goods Issued,2024-04-06 06:54:41,Warehouse,5898.77
ORD-002,Invoice Sent,2024-04-08 14:09:15,Accounts Receivable,5898.77
ORD-002,Payment Received,2024-04-09 16:51:43,Accounts Receivable,5898.77
ORD-003,Order Created,2024-06-06 00:00:00,Sales Rep,36377.94
ORD-003,Credit Check,2024-06-14 17:29:31,Finance Team,36377.94
ORD-003,Goods Issued,2024-06-16 08:45:55,Warehouse,36377.94
ORD-003,Invoice Sent,2024-06-18 00:07:45,Accounts Receivable,36377.94
ORD-003,Payment Received,2024-06-19 22:27:13,Accounts Receivable,36377.94
ORD-004,Order Created,2024-03-29 00:00:00,Sales Rep,26713.07
ORD-004,Credit Check,2024-04-05 17:56:13,Finance Team,26713.07
ORD-004,Goods Issued,2024-04-07 23:18:21,Warehouse,26713.07
ORD-004,Invoice Sent,2024-04-09 06:00:05,Accounts Receivable,26713.07
ORD-004,Payment Received,2024-04-10 20:01:28,Accounts Receivable,26713.07
ORD-005,Order Created,2024-06-23 00:00:00,Sales Rep,18951.73
ORD-005,Credit Check,2024-07-02 17:02:51,Finance Team,18951.73
ORD-005,Goods Issued,2024-07-04 11:24:20,Warehouse,18951.73
ORD-005,Invoice Sent,2024-07-07 10:36:03,Accounts Receivable,18951.73
ORD-005,Payment Received,2024-07-09 09:00:19,Accounts Receivable,18951.73
ORD-006,Order Created,2024-05-14 00:00:00,Sales Rep,43137.08
ORD-006,Credit Check,2024-05-22 10:15:59,Finance Team,43137.08
ORD-006,Goods Issued,2024-05-23 18:48:48,Warehouse,43137.08
ORD-006,Invoice Sent,2024-05-27 06:16:09,Accounts Receivable,43137.08
ORD-006,Payment Received,2024-05-30 18:41:23,Accounts Receivable,43137.08
ORD-007,Order Created,2024-01-09 00:00:00,Sales Rep,40611.47
ORD-007,Credit Check,2024-01-16 07:33:32,Finance Team,40611.47
ORD-007,Goods Issued,2024-01-18 01:39:30,Warehouse,40611.47
ORD-007,Invoice Sent,2024-01-19 20:20:29,Accounts Receivable,40611.47
ORD-007,Payment Received,2024-01-22 16:29:50,Accounts Receivable,40611.47
ORD-008,Order Created,2024-01-08 00:00:00,Sales Rep,30889.84
ORD-008,Credit Check,2024-01-15 10:44:32,Finance Team,30889.84
ORD-008,Goods Issued,2024-01-18 19:55:09,Warehouse,30889.84
ORD-008,Invoice Sent,2024-01-20 15:37:29,Accounts Receivable,30889.84
ORD-008,Payment Received,2024-01-23 10:35:10,Accounts Receivable,30889.84
ORD-009,Order Created,2024-05-13 00:00:00,Sales Rep,16273.84
ORD-009,Credit Check,2024-05-20 05:56:36,Finance Team,16273.84
ORD-009,Goods Issued,2024-05-22 09:11:35,Warehouse,16273.84
ORD-009,Invoice Sent,2024-05-23 10:41:46,Accounts Receivable,16273.84
ORD-009,Payment Received,2024-05-26 03:07:33,Accounts Receivable,16273.84
ORD-010,Order Created,2024-01-14 00:00:00,Sales Rep,23037.95
ORD-010,Credit Check,2024-01-24 08:43:37,Finance Team,23037.95
ORD-010,Goods Issued,2024-01-26 00:24:04,Warehouse,23037.95
ORD-010,Invoice Sent,2024-01-28 03:46:56,Accounts Receivable,23037.95
ORD-010,Payment Received,2024-01-30 04:46:56,Accounts Receivable,23037.95
ORD-011,Order Created,2024-03-22 00:00:00,Sales Rep,48097.43
ORD-011,Credit Check,2024-04-02 02:03:31,Finance Team,48097.43
ORD-011,Goods Issued,2024-04-04 16:39:20,Warehouse,48097.43
ORD-011,Invoice Sent,2024-04-08 05:03:15,Accounts Receivable,48097.43
ORD-011,Payment Received,2024-04-10 20:49:10,Accounts Receivable,48097.43
ORD-012,Order Created,2024-06-05 00:00:00,Sales Rep,14523.96
ORD-012,Credit Check,2024-06-15 19:30:58,Finance Team,14523.96
ORD-012,Goods Issued,2024-06-16 23:05:41,Warehouse,14523.96
ORD-012,Invoice Sent,2024-06-19 22:27:55,Accounts Receivable,14523.96
ORD-012,Payment Received,2024-06-22 11:31:59,Accounts Receivable,14523.96
ORD-013,Order Created,2024-03-03 00:00:00,Sales Rep,10737.07
ORD-013,Credit Check,2024-03-13 21:25:35,Finance Team,10737.07
ORD-013,Goods Issued,2024-03-16 07:21:20,Warehouse,10737.07
ORD-013,Invoice Sent,2024-03-18 18:20:52,Accounts Receivable,10737.07
ORD-013,Payment Received,2024-03-21 07:22:08,Accounts Receivable,10737.07
